"year","ten_digit","region","province","muniCity","dot_region","dot_province","dot_municity","total","correspondence_code","pop_2020","id","traveler","count"
2019,103312000,"Region I (Ilocos Region)","La Union","Pugo","Region I  (ILOCOS REGION)","La Union","Pugo",4791,13312000,19337,"013312000","overseas",NA
2019,103312000,"Region I (Ilocos Region)","La Union","Pugo","Region I  (ILOCOS REGION)","La Union","Pugo",4791,13312000,19337,"013312000","domestic",3978
2019,103313000,"Region I (Ilocos Region)","La Union","Rosario","Region I  (ILOCOS REGION)","La Union","Rosario",6837,13313000,60278,"013313000","foreign",192
2019,103313000,"Region I (Ilocos Region)","La Union","Rosario","Region I  (ILOCOS REGION)","La Union","Rosario",6837,13313000,60278,"013313000","overseas",NA
2019,103313000,"Region I (Ilocos Region)","La Union","Rosario","Region I  (ILOCOS REGION)","La Union","Rosario",6837,13313000,60278,"013313000","domestic",6645
2019,103314000,"Region I (Ilocos Region)","La Union","San Fernando City","Region I  (ILOCOS REGION)","La Union","San Fernando City",92790,13314000,125640,"013314000","foreign",6936
2019,103314000,"Region I (Ilocos Region)","La Union","San Fernando City","Region I  (ILOCOS REGION)","La Union","San Fernando City",92790,13314000,125640,"013314000","overseas",NA
2019,103314000,"Region I (Ilocos Region)","La Union","San Fernando City","Region I  (ILOCOS REGION)","La Union","San Fernando City",92790,13314000,125640,"013314000","domestic",85854
2019,103316000,"Region I (Ilocos Region)","La Union","San Juan","Region I  (ILOCOS REGION)","La Union","San Juan",299914,13316000,40507,"013316000","foreign",5748
2019,103316000,"Region I (Ilocos Region)","La Union","San Juan","Region I  (ILOCOS REGION)","La Union","San Juan",299914,13316000,40507,"013316000","overseas",NA
2019,103316000,"Region I (Ilocos Region)","La Union","San Juan","Region I  (ILOCOS REGION)","La Union","San Juan",299914,13316000,40507,"013316000","domestic",294166
2019,103317000,"Region I (Ilocos Region)","La Union","Santo Tomas","Region I  (ILOCOS REGION)","La Union","Sto. Tomas",314,13317000,40846,"013317000","foreign",40
2019,103317000,"Region I (Ilocos Region)","La Union","Santo Tomas","Region I  (ILOCOS REGION)","La Union","Sto. Tomas",314,13317000,40846,"013317000","overseas",NA
2019,103317000,"Region I (Ilocos Region)","La Union","Santo Tomas","Region I  (ILOCOS REGION)","La Union","Sto. Tomas",314,13317000,40846,"013317000","domestic",274
2019,103319000,"Region I (Ilocos Region)","La Union","Sudipen","Region I  (ILOCOS REGION)","La Union","Sudipen",4691,13319000,17187,"013319000","foreign",399
2019,103319000,"Region I (Ilocos Region)","La Union","Sudipen","Region I  (ILOCOS REGION)","La Union","Sudipen",4691,13319000,17187,"013319000","overseas",NA
2019,103319000,"Region I (Ilocos Region)","La Union","Sudipen","Region I  (ILOCOS REGION)","La Union","Sudipen",4691,13319000,17187,"013319000","domestic",4292
2019,105503000,"Region I (Ilocos Region)","Pangasinan","Alaminos City","Region I  (ILOCOS REGION)","Pangasinan","Alaminos",163964,15503000,99397,"015503000","foreign",4243
2019,105503000,"Region I (Ilocos Region)","Pangasinan","Alaminos City","Region I  (ILOCOS REGION)","Pangasinan","Alaminos",163964,15503000,99397,"015503000","overseas",NA
2019,105503000,"Region I (Ilocos Region)","Pangasinan","Alaminos City","Region I  (ILOCOS REGION)","Pangasinan","Alaminos",163964,15503000,99397,"015503000","domestic",159721
2019,105505000,"Region I (Ilocos Region)","Pangasinan","Anda","Region I  (ILOCOS REGION)","Pangasinan","Anda",9316,15505000,41548,"015505000","foreign",104
2019,105505000,"Region I (Ilocos Region)","Pangasinan","Anda","Region I  (ILOCOS REGION)","Pangasinan","Anda",9316,15505000,41548,"015505000","overseas",NA
2019,105505000,"Region I (Ilocos Region)","Pangasinan","Anda","Region I  (ILOCOS REGION)","Pangasinan","Anda",9316,15505000,41548,"015505000","domestic",9212
2019,105507000,"Region I (Ilocos Region)","Pangasinan","Balungao","Region I  (ILOCOS REGION)","Pangasinan","Balungao",3605,15507000,30004,"015507000","foreign",36
2019,105507000,"Region I (Ilocos Region)","Pangasinan","Balungao","Region I  (ILOCOS REGION)","Pangasinan","Balungao",3605,15507000,30004,"015507000","overseas",NA
2019,105507000,"Region I (Ilocos Region)","Pangasinan","Balungao","Region I  (ILOCOS REGION)","Pangasinan","Balungao",3605,15507000,30004,"015507000","domestic",3569
2019,105510000,"Region I (Ilocos Region)","Pangasinan","Bautista","Region I  (ILOCOS REGION)","Pangasinan","Bautista",114,15510000,35398,"015510000","foreign",33
2019,105510000,"Region I (Ilocos Region)","Pangasinan","Bautista","Region I  (ILOCOS REGION)","Pangasinan","Bautista",114,15510000,35398,"015510000","overseas",NA
2019,105510000,"Region I (Ilocos Region)","Pangasinan","Bautista","Region I  (ILOCOS REGION)","Pangasinan","Bautista",114,15510000,35398,"015510000","domestic",81
2019,105514000,"Region I (Ilocos Region)","Pangasinan","Bolinao","Region I  (ILOCOS REGION)","Pangasinan","Bolinao",150913,15514000,83979,"015514000","foreign",518
2019,105514000,"Region I (Ilocos Region)","Pangasinan","Bolinao","Region I  (ILOCOS REGION)","Pangasinan","Bolinao",150913,15514000,83979,"015514000","overseas",NA
2019,105514000,"Region I (Ilocos Region)","Pangasinan","Bolinao","Region I  (ILOCOS REGION)","Pangasinan","Bolinao",150913,15514000,83979,"015514000","domestic",150395
2019,105518000,"Region I (Ilocos Region)","Pangasinan","Dagupan City","Region I  (ILOCOS REGION)","Pangasinan","Dagupan City",87408,15518000,174302,"015518000","foreign",630
2019,105518000,"Region I (Ilocos Region)","Pangasinan","Dagupan City","Region I  (ILOCOS REGION)","Pangasinan","Dagupan City",87408,15518000,174302,"015518000","overseas",NA
2019,105518000,"Region I (Ilocos Region)","Pangasinan","Dagupan City","Region I  (ILOCOS REGION)","Pangasinan","Dagupan City",87408,15518000,174302,"015518000","domestic",86778
2019,105519000,"Region I (Ilocos Region)","Pangasinan","Dasol","Region I  (ILOCOS REGION)","Pangasinan","Dasol",4172,15519000,31355,"015519000","foreign",9
2019,105519000,"Region I (Ilocos Region)","Pangasinan","Dasol","Region I  (ILOCOS REGION)","Pangasinan","Dasol",4172,15519000,31355,"015519000","overseas",NA
2019,105519000,"Region I (Ilocos Region)","Pangasinan","Dasol","Region I  (ILOCOS REGION)","Pangasinan","Dasol",4172,15519000,31355,"015519000","domestic",4163
2019,105521000,"Region I (Ilocos Region)","Pangasinan","Labrador","Region I  (ILOCOS REGION)","Pangasinan","Labrador",6512,15521000,26811,"015521000","foreign",621
2019,105521000,"Region I (Ilocos Region)","Pangasinan","Labrador","Region I  (ILOCOS REGION)","Pangasinan","Labrador",6512,15521000,26811,"015521000","overseas",NA
2019,105521000,"Region I (Ilocos Region)","Pangasinan","Labrador","Region I  (ILOCOS REGION)","Pangasinan","Labrador",6512,15521000,26811,"015521000","domestic",5891
2019,105522000,"Region I (Ilocos Region)","Pangasinan","Lingayen","Region I  (ILOCOS REGION)","Pangasinan","Lingayen",140097,15522000,107728,"015522000","foreign",429
